刚转行做销售管理，带的团队业绩一直倒数第一	你能当销售管理说明已经击败百分之八十的人了诶很棒加油
上课和外教答话犯了基本错误	这么一个小小的错误都会自责，真的很有责任心很温暖的人诶
想要坚持下去的勇气	好厉害啊又突破了自己的忍耐极限。
植树节种了樟子松	我每天连能量都懒得去收，你太厉害了吧
我有城市孤独症	我也是这样的，也许忙起来就好啦
论文被老师批评了	一定会慢慢好起来的！论文加油୧(⁼̴̶̤̀ω⁼̴̶̤́)૭
我和好朋友一起哭了一晚上	有朋友和自己一起哭你幸福！
我炒的蛋炒饭	就算不被人发现，你也一直在坚持到底，真的很有毅力呢！精心配置了相应的表情，真是有一颗匠心，正应如此，您的蛋炒饭才让人光看图片就食指大动呢！
学习遇到大低谷	有波谷就会有波峰的
找工作好心酸	我也经历过，会有结果的。加油
我在努力准备考研复试	有这么大的勇气和毅力真的很棒
已经连着挨骂两天了，心情不好	被骂说明还是在乎你想让你变好你加油
被姐姐说了	你很棒！不依赖姐姐，已经变成独立的人了
我终于可以买自行车啦！	真好可以开始有滋有味的生活了
刚画了彩铅画	大师，您收徒弟么！！！！！
感觉自己一无是处啊	才不是！都是因为你没有缺点，所以才称托不出来你的优点是优点鸭
今天种上胡杨啦！	地球感谢你
为复试在努力的我	你真棒，很多人都不如你优秀，加油哦！
每次离开家去学校都难受	你真棒！你能走出舒适圈，克服恐惧和不适，不逃避去上学，你真厉害！未来也要加油呀！
考博复习不过来了，想疯掉	加油鸭～为了更好的明天熬过这个坎坚持就是胜利✌
今天又要去健身了	宝贝你真棒。
好每一个路口都是红灯	这样你就能停下来感受一下今天的美好天气啦
把没有结果的对象删了	及时止损！干得好
一直不好看的人能得到鼓励吗！	每个人都是最美的
留学申请被学校拒了	你很棒的，要相信自己
我可能找到工作了	欢迎你成为光荣的劳动人民
没洗脸刷牙就去上班了	你突破了极简生活的极致。
半个月已经瘦了九斤啦	棒棒棒，我减肥从来没成功过哈哈哈
在蚂蚁森林种了棵树啦！	居然能种这么多樟子松啊感谢你为祖国的环保事业做出的卓越贡献
我好像长斑了	我也长了但是我觉得好真实啊一定很好看
异地恋好难啊	异地恋很不容易了，加油哇
被公司辞退了	适合你的工作在等着你呢
我二战失败了	我一战都放弃了，你竟然有勇气去二战，我相信生活中已经没有什么事能打败你了
人生的价值在哪？！	体会人生的酸甜苦辣啊，不一定非要有什么宏大的目标吧
相亲失败了	恭喜你，离正确的爱人又近了一步。
最近情绪很差，老是和人吵架，把别人弄得很伤心	过了这段时间就好了～会好的:)
面试复试发挥失常	都进复试啦！简直太厉害了吧！
我是不是不适合读书	内心抗拒的事做起来艰难，完成了也是有成就感，走出舒适区，你可以。
嫌弃自己画的画	我这个外行人觉得吧，挺好看的呀
马上要上课了	面对那么好的天气都没有翘课，还一心想着学习，真棒啊！
我是做公益组织的	哇！很棒噢！善良的小姐姐ߍ
还钱的第四年	加油，老铁，我是九五后，我身边也有朋友是这种情况，解决完这件事情之后的你是最美的
毕业论文可真难写啊	羡慕还在上学的日子
四战考研三百一。	有勇气总比没有强
得了癌症在化疗放疗呢！	加油加油！你这么可爱肯定会没事的
我开始了创业项目	许多人连开始都不敢，你已经很棒了，加油
上学期成绩出来，我没有奖学金	没有人会一直一帆风顺，很多人都是一地鸡毛，很快都会好起来！
自己做了米线	隔着屏幕闻到了香味儿
我人缘不好	他们就是嫉妒你，太好看太优秀了并不是你的错哼哼哼
肌肉韧带拉伤	哇，真棒～你就要蜕变成天鹅啦～
到现在一个工作都没有	祝你找工作顺利啊！
辞了六年的工作	勇敢的你，更好的生活在前方！
半夜里表扬安慰别人的人	说明无忧无虑，真好
做了问卷没人填	摸摸，你是最棒的！
第一次用面包机做吐司	有想法，有创新，有特色
1天半写了两篇文章	效率好高啊，你一定是个专注的人
又改了一遍论文	每修改一次就是进步一次
从公司裸辞	真正的勇士！！！加油！
想要去表白啊	去吧，不试试会后悔遗憾的。勇敢加油！
今天擦了口红	那你今天一定笑的炒鸡美
减肥瘦了六斤	好的！争取早日回归原来的体重！
论文写得脑壳疼	懂得苦中作乐，先让自己舒服，规避痛苦
别人说我长得好看	隔着屏幕我都被你的美貌吸引住了
从不玩手游	这是个好习惯哦，表扬表扬。
饿着肚子学习	你是个爱学习的好孩子，不过还是要注意身体哦，身体是革命的本钱
昨天刷了双鞋子	你真是个爱干净的宝宝
我是个自制的人	我的妈，励志小伙子有前途
今天去晨跑完去了早自习	你真棒，跑完步人会变得自信，今天你一定会过的很快乐
发现什么都不会	大家都是从不会开始的呀你想做兼职就说明您是个很棒的人呢
我超级胆小又懦弱	但是想想如果明天生命就结束我有多遗憾，就不再畏惧任何事情了呢
今天早上早起了	早上好呀小可爱，你真棒！
今天一节课也没有听	做想做的事就好
喜提特斯拉一辆	老板你好，缺提鞋的吗？
是不是我不够漂亮	爱情急不得，你会遇到最好的，我们一起等
我做的午饭	看饿了一定很好吃吧你真是心灵手巧！
终于得到了一次面试机会	你好有毅力呀！加油！
我是个平凡的普通人	很高兴遇见你呐，晚安
找不到工作	加油吧，我也找了很久
今天又偷偷想他了	你忘了我偷偷加回来了吗
男友越轨了	还好没结婚！恭喜你
第一次大马路上痛哭流涕	发泄了情绪又锻炼了身体，比我强，因为顶多躲被窝哭
单身惯性大	放心吧，你的TA在来的路上了
至今为止单身	加油对自己好一点
想吃好吃的	想吃好吃的胃口真好~
备考公务员	加油加油加油，我们一定会过的~
总是被男生拉黑	可能他们觉得你太白，他们太黑了配不上你
控制住了自己没有吃雪糕！	很棒啊少吃甜食越来越好看
后悔跟前男友分手	嗯，别输给自己的孤独与脆弱。都会好的
插了个干花	我麻麻也喜欢上插花啦，好想回家和她一起，羡慕心灵手巧的小可爱
今晚要早睡	早睡早起身体好！真是棒棒啊小可爱！
年薪超过年龄	好棒啊，你太厉害了，果然是人才
删掉了找我聊天的男的	替你的手机表扬你，不聊天省好多电，增长待机时间。
这两天不想他了	这么快就想通了真厉害
想找地方说话	好好生活呀对自己好才是最大的幸福
毕业就失业	最大的优点就是认清楚了现实。现在很多人都认不清现实。谦虚是你最大的闪光点。
我是一只舔狗	牺牲自己、成就别人，如此无私，值得赞扬！
女生问我问题	你看她不问别人就问你呗你答不答出来有啥重要妹子就是想和你说话
我发烧了，有些严重	用自己的体温驱散寒冷，令人动容
觉得自己没用	善于自我反省，希望自我进步，有上进的精神，表扬～！
考试压力大	能够好好努力就很棒了，加油鸭，不恐惧才能走的更远呀
当局者迷怎么办	你很棒不用急着明白，有时候看太透反而也痛苦
对生活失去了失望	干巴爹，虽然不知道怎么帮助你，但隔着屏幕抱抱你
我准备去复读	迷途知返是对自己的人生负责哦，回去可千万不能懈怠，加油
我喝奶茶了	奶茶这么好喝！当然要每天喝
被导师扣钱	导师肯定是器重你，想让你多帮他干活
我被洗脑了	你的人生阅历更丰富了！
考上大学了	真是努力又坚毅的人
喜欢的男生不喜欢我	追，女追男，隔层纱
我恐高	我有恐高，但为了你，我愿意和你一起站在这里，克服恐惧。
我学习练字	现在大家都是电脑打字，这个年代还在练字的人真的是有毅力，有坚持
我坚持学习法语	你好厉害呀！这门语言超难的吧？夸夸你噢！
女友说我是舔狗	太棒了，你一定是一个优秀很好的人！
要考科目三	我也要考，一起加油呀
纹了新纹身	这独特的紫从深过渡到浅又过渡到深一看就是出自大师之手！
我食物中毒了	以毒攻毒，你应该是好了
没逃课没睡觉	你今天的学费没白花，值了。
我外出摄影	你构图那是相当厉害了！
邻居的小礼物	那和你做邻居的人也一定特别幸福
今天被人打了	你很好呀！！！！懂得保护自己！
我上报纸了！	善于发现美的眼睛，棒棒
我今天怼了老师	很有勇气嘛，也有自己的思考方式，加油~
我回击了领导	佩服！！我都不敢顶嘴！
我看电影哭了	啊啊～你真是温柔而细腻的人呀
考过驾照了	厉害，以后开车出去兜风啦
上床之后没有玩手机	你也太棒了，向你学习
我是个垃圾吗？	努力提高自己的才是正解
我被骗钱了	你善良又可爱，这样的人运气会很好的，加油！
我腿粗胸小	每个人有不同的美哦
活着的意义是什么？	为了遇见你这么好的人
蚊子咬了个包！	蚊子都不咬我，你一定是个爱干净，皮肤好的朋友
刚刚学了数学	你一定超级聪明，学数学的都很厉害的
周末补考了四门	谁都会犯错误，所以人们才会在铅笔的另一头装上橡皮。
做饭忘了加水	恭喜做出了一锅爆米粒
一个人去医院	勇敢！独立！你好棒呀！！早日康复哦～
一家四口一起吃饭啦	跟家人在一起的时光是最幸福的，棒棒哒
考研失败分手	太好啦，告别了错的人，离自己的幸福更近了
好忙还要考托福	你太棒了我都没有出国的机会
室友说我自然语言处理不行	这有啥我室友人都没了
我的图像处理做不出来啊	哇你居然有这么多钱买显卡
排球被人打脸上	你的运气真好！加油
我接受了媒体的采访	这是最实在的鼓励了
最近没好好看书	本来想鼓励你的但是我也看不进去
英语口语不行啊	口语慢慢来就好啦，多读多练就好~
无法融入新的工作环境	没关系哒，慢慢来，毕竟你被录用了说明你很优秀呀
饭圈真的乱	有这么理性的认识，你真是太聪明啦
别人说我丑	相反，我觉得独一无二的你来到人间就是最美好的事情
我得了精神分裂	哇你的脑中一定有个很精彩的世界
长发剪成短发	哇，那你肯定变得更漂亮了
我讨厌直男	像我这种帅的直男还是很美好啊请继续讨厌丑的直男
自己好像变老了	年龄也挡不住你美丽的容颜
第一次面试失败	好工作在前面等着你诶！
浑身酸痛坚持学习	快躺会儿吧，躺着也能学，你啥姿势学习都值得表扬
很久没熬夜了	一边熬夜一边表扬你。。你比我自律啊
我心情不太好	没有人活的容易，你已经算非常幸运。
我感冒动不了	是一个在积蓄能量的小可爱噢
不敢一个人开车上路	你一定是洞察「欲速则不达」的哲人辣！！
我通宵工作	认真工作的人最美～
入职工作崩溃	加油哇！大家都是从菜鸟开始的，所以别气馁噢
自己设计的模版！	好好看啊真的很不错啦
地铁坐过站	缘分天注定，转角遇到爱
下楼被困电梯	难得一遇的机会能够体会到生命的真谛，在生命面前一切都是浮云啦。
每天都早睡早起	真棒！自律达人就是你！
收到了学校预录取	好牛，为了梦想一步步向前的你最美啦
我写的策划过了	祝贺你哦！认真完成的工作被肯定了一定很开心吧，继续加油哦！
做题错了一半	失败乃成功之母，你就要成功啦！错的越多，就可以吸取越多教训，收获越多
一个人去看电影了	好棒啊！我也喜欢自己一个人去看电影！独自的时光，自己想干嘛就干嘛，非常放松了
辩论赛输了	你很棒啦！勇敢参与参加这类活动！需要很多勇气！敢于展现自己！！！厉害！不管输赢哦！
自己的口红试色！	好漂亮呀，嘴唇美美的
我自己做了个包包	你肯定是外星人，地球人手没这么灵巧，脑子没这么好使！
一早上没抽烟	哇你好厉害呀自制力真好ߑͤߝ持下去呀
种了一盆菜	你就是下一个袁隆平！
为什么没人理我	因为不想打扰你的美
今天运动好累	在运动已经很棒了!我很想运动现在却在玩手机，要向你学习
最近心情很好	分享正能量是一件很赞的事情！
考试考砸了	天降大任于斯人也！必先使其考砸！
被导师叫去干活	哇，导师很器重你啊，肯定还有补助拿吧
我宅了一天	肯定是个独特又有魅力的人啊
想找女朋友	你这么优秀女朋友会自己找你。
论文快完成了	真的很强啊，要是我早出去吃火锅去庆祝了!
逛街被认成服务员	服务员小姐姐都是温柔可爱的
一个人拔牙	你要这样想呀拔牙的时候嘴张那么大面目狰狞还是只让牙医看就好啦如果别人陪你一起去看到了不得吓一跳嘛哈哈哈哈
做饭能力强	SS级选手啊！你做的这是超好吃！我做的是可以吃！
还不会戴美瞳	你有一颗想要把自己打扮的漂漂亮亮的心就很棒啦！！
写病历的小哥哥好好看	厉害厉害！一般人在医院遇到的不是阿姨就是大叔！你太优秀了！
身边没有朋友	这样总比被坏人伤害来的好呦，希望能找到一个合拍的人来陪你
冲动消费了	你一定可以掌握延迟满足这个能力的！
考教师资格证	我真的很敬佩有梦想的人呢！特别是当老师，真的很棒！加油！要相信自己可以的！
活着可真难	真的很难呢，坚持到现在的你很棒呐，所以继续坚持，做最好的自己就好了
今天吼了老板	真棒，敢跟老板叫板的员工都是有能力有拼劲的管理储备
一个人的午餐	你看这个面，它又细又长，你看这个肉，它又香又甜，你看这个青菜，多有营养。
看文献看到头秃	秃头才会变强，说明你真的变强了，夸你
不想做毕设	+1你真棒世界上又多了一个和你志同道合的人
找不到工作到焦虑	哈哈，太晚就睡了。求职的时候也要调整心态
手撕快递盒	战斗力爆表啊
要被辞退了	人挪活树挪死你以后马上就能走上人生巅峰了哦
胃口好了，吃了很多东西	太厉害了！简直是木下本人能吃不胖
春招被拒绝	一定因为这些公司不适合你，要自信哦～多去投简历一定会找到自己心仪的工作的～
要考教资了	加油啊，不用太紧张，因为我相信你一定考的过去的
周六坚持上班	大家调休，只有你一个人在工作岗位，证明你是公司最重要的，公司离开其它任何一个人都还开门，但离开你的话公司就关门了，你好优秀！
薯条烤焦了	看起来很好吃哦！我好喜欢吃稍微有点焦的薯条！
第一次做蛋糕	本烤箱杀手诚挚地表扬你真的很厉害
感觉自己是打字机	那你这个打字机也太厉害了吧！！！我学只学过vb而且现在只记得if，你厉害多了！
心里没有底	不会的要相信自己！做事之前多思考就好啦！你特别优秀的
昨天买了五本书	肉体和精神总有一个在路上，你好棒啊精神世界好丰富
五天没洗头了呢	向你学习，省时省力省钱又省水！
我的收藏被扔了	把他们放在你的心里吧，不要难过了，我也会很珍惜一些旧收藏呢
我删了微博和网易云	干脆利落，一看就知道是个果断的人！欣赏你！
我好像容易被讨厌	谁说的！你是世界上最可爱的人！你做什么都超级可爱！
烫到舌头了	哇好棒，被烫还能是刚刚好那种，要是我舌头就烫掉了
需要一个人对我说辛苦了	辛苦啦！明天早上起来吃个美美的早餐！肉包子热干面馄饨饺子糍粑油条豆浆，依然是元气满满的一天!̤͓
今天去上课发现没带书	哇你的水平已经超乎课本之外了，真棒
签器官捐献协议啦	祝你生活幸福安康！你真是个美丽的人！
电影院吵架	摸头别放心上敢于挑战恶势力你是个有勇气的好姑娘！
第一笔稿费	能用兴趣赚钱简直太棒啦！！
求吸收正能量	你没有像大多数脆皮一样选择好吃懒做，已经是很上进的脆皮了！
我是不是一无是处	怎么可能呢？你是独一无二的小可爱啊！
我不适合工作	你的生活充满了干劲儿，不甘于枯燥的按部就班的生活。不错！
最近运气真好！	嘿嘿，真棒，来你身边蹭蹭运气
挂了个急诊	好厉害！竟然还自己挂了急诊！
被人当备胎了	早发现，早止损，他不值得~抱抱你，别难受了
洗澡只花了六分钟	又节省时间又环保，真的很棒棒呢～
我写的诗，真是太烂了。	自己喜欢就好，人得有一些自己喜欢的消遣。
明天第一次面试	加油别紧张早点睡等着你的好消息
要带牙套了	好有毅力呀，坚持哦，取下牙套就漂亮了
考研很迷茫压力很大	青春只有这些日子多做自己热爱的事认真充满激情
同学都说我黑	黑是为了暗中保护大家呀真是个善良的小可爱
吃水果坚持好几天啦	坚持健康的生活很棒！感觉你体内维生素一定很丰富，皮肤一定超级水润
考研过线了	功夫不负有心人了
每天坚持泡脚	多泡脚没有脚臭！你真是一个爱干净的人呢！
我想睡觉了	优秀的人思维是如此的一致！我也想睡了！
不会做学术	你知道自己适合什么，不适合什么。不做学术没关系的呀～
复试分数线涨了	要相信否极泰来！
做饭做出了黑暗料理	看起来很好吃哇～自己下厨，一定是很懂生活的人呀！
今天很想家	你妈妈有你这样的孩子真好
生活好难啊	走完这段难走的路应该会看到好风景吧
吃了一些菠萝	你好会吃水果！菠萝对消化也好！
今天又加班了，好累	早点休息鸭，你这可愛的小蜜蜂！
流浪狗，长大了	很有爱心的人，相信你一定会有福报的！
数学考试要挂了	哇，你还在担心考试的事情一定是个学霸吧
男友生病了	啊哈哈谢谢善良的你他看到会很开心的
领导给我加薪了	表扬你！我也想要加薪！今晚可以吃顿大餐庆祝啦
学雷锋做好事	我在你的身上又看到了我们时代的楷模！
要被裁员了	大部分员工都是遇到问题甩手走人，而你陪公司走到最后。你坚毅勇敢持之以恒，公司应该感谢你
分手了被绿了。	恭喜你可以及时止损！
明天要去转专业考试了	哇好棒好棒！！加油加油！！你一定发挥超好的！！
量子力学课落地成盒	优秀，清华的还是北大的
健身房累到腿软	在这物欲横流，手机为王的时代，仍能不忘初心，坚持健身，实在当代人学习的不二楷模
写小说很多年	作品慢慢会有的，坚持和毅力才是难能可贵的！你要加油哦
被发了好人卡	将来一定会遇到更优秀也喜欢你的人
坚持背单词	这个不仅锻炼了自控力还能学到东西能力不是很很容易坚持下来的，了不起了不起
找不到调剂学校	你好厉害哦，恭喜你过线了
晚饭吃的好饱	吃了那么多，居然还不胖。如果不是妖，一定是个仙。
我剃了光头	这个头肯定以后是个聪明的孩子了！
跑步没坚持下来	你已经很棒啦(´▽｀)ノ♪下次一定可以完成计划的(ง•̀_•́)ง
好想发自拍	那就发在心里好啦！很漂亮哦
投出了第一个实习简历	万事开头难，你已经成功一半了
控制了饮食	这个自控力太强大了吧！
关了朋友圈	能控制自己的人就是强者
背了债，还钱中	这是走向成功的最后一劫！
诸事不顺利	说明好事都在后面啦
梦见了自己未来的老公	哈哈哈哈哈哈~~那我祝你梦想成真
对生活不满意，怀疑自己	会反思就是进步
新买的衣服还没穿就洗坏了	你是一个爱干净的人！你值得更多新衣裳！
想喝奶茶饮料	哇好厉害你的身材肯定棒棒哒
自己插了花	你把春天偷来，藏在了篮子里
自己装修小公寓	好温馨，你一定是一个热爱生活的人。
坚持早睡早起	生活会善待自律的你~加油！
联系的老师特别好	真好呀！快乐读书
合伙创业了	哇塞你做成一个许多人只想却不敢做的事情
第一次煮糖水	我想古代皇上吃的也不过如此了
不想上班只想睡觉	哇！你真厉害和我想的一样呜呜呜
我要痊愈了	可能当热情的夏天到来时，你就已经康复了，美好的世界拥抱你
昨晚通宵上班	天呐真努力事业更上一层楼！
早起外地出差	努力的孩子一定会有收获的
放下过去的心结了	太好了呢。最难放下是心结。最接近自然的人才能不被心结所困。
我想要拥抱	给你一个熊抱！
被人渣劈腿了	他失去了一个很爱他的人你失去了一个不爱你的人赚了啊
每天在宿舍跳减肥操都会放屁	排毒养颜，不错。
晚上莫名的哀愁	你还可以享受一个美丽的夜晚
单亲职场妈妈	那你很酷哦！给孩子当个好榜样！
买到了新专辑！	生活有品位，点赞
产后抑郁了	怀胎十月，生出一个可爱的小宝贝，你真的很棒呢
发现自己很猥琐	这么会自嘲，一定是个很乐观很开朗的男孩子（或女孩子）！
下手挤了鼻子上的痘痘！	要小心感染呀！但是能把痘痘挤掉听起来就好畅快呀！
丧失了全部的自信，一点斗志都没了	加油，只要不放弃命运总会受眷顾的。虽然按科学法说缺少逻辑，但还是要有信念信心呀
放弃了名校，选择了一个更喜欢的学校	喜欢才能长久，要珍惜啊
有一部分题型全错了	说明其它部分也许做的不错呢。
考研学不下去习	和我一样，咱们真是可爱呢，但是还得加油
刚出生的小猫都没活下来，心痛。	众生皆苦，我们怎么能够确定它们不是去了更好的世界或者是我们不幸生活在一个不好的世界呢？为他们祝福吧，接受命运的安排。
做了自制火锅	同为火锅爱好者的很是羡慕呢
雅思考五次考不下去了。	能考五次雅思，一方面说明你比较有钱，说明你赚钱能力比较强，另一方面说明你目光长远，这正是成功人士必备的素质啊
外卖小哥给我拿错了别人的饭	愿意体谅别人的人都是小天使
参加校园招聘会，被各种嫌弃	不焦虑！没有消息就是最好的消息！说明仍有希望！要坚强挺住！
做了四天便当啦	在我心里会做饭的都是天使！
社交圈好小	那是因为你懂得自己的孤单与快乐
被相亲市场搞得怀疑自己	月老在把更好的留给你，再等等，不要怀疑自己
给男朋友买了一堆没用但有趣的小玩意	如果我是你男朋友一定会感觉到自己受宠爱呢
工科狗的我给异地女朋友写了首诗	真的很厉害！我作为文科生都没有你这种文采和情怀！祝你和女友幸福，爱情长久♡
我好像没有朋友	证明你独自一人也能过得很充实
一个人去做胃镜！	你怎么这么勇敢！！
饿着肚子学了四个小时	就喜欢你这样诚实的人儿
昨天刷了双鞋子，手起泡了	你真是个爱干净的宝宝
我要结婚了	哇！先说一声恭喜恭喜，百年好合！
不想委屈自己	不管你是什么样你都是自己的最棒
找不到工作	我坚信运气很重要该来的会来的，你也别太焦虑。一起加油啦
做了个生日蛋糕	感觉这个世界充满爱
昨天喝了奶茶	你是天使，替我喝了昨天想喝的奶茶
早上上班迟到要被老板骂了	比不去的人好很多啊
想要一缕阳光	有人说过如果没有阳光就让它从心里长出来，加油
一条牛仔裤穿了连续一个月	低碳，又不多花钱，节俭典范
我特别怂特别幼稚	有童心的人容易快乐……多么可贵的品质
今天被一个十几岁姑娘叫阿姨	她不知道怎么表达对你的敬慕之情只能强行抬辈分了啊
妈妈签了捐献遗体协议	不知道该说什么，哭了
早上起不来	当你不想起床时，全世界都在帮你～真好
莫名很失落	照照镜子，你会被镜子里的可人儿美到笑开花儿的
长得丑还没技能	你可以做摄影师呀，拍的照片特别好看，而且有趣的灵魂也特别重要和吸引人
男朋友好烦	你若盛开，清风自来。
半夜一点多了还没睡	不疯魔不成活
今年考博可能凉凉	能考上并且读完研究生已经很棒了，你还没有荒废这三年认真学习了，那就更棒啦
手术刚做完两天被领导逼着写报告	好好照顾自己呀，身体最重要
周末还要上班	为社会做贡献
前男友找我复合，我拒绝了	好棒！拒绝难过几天，同意难过很久很久，然后重蹈覆辙
要做手术了，好紧张	没事的，一切都会顺利的~睡一觉就好了
刚刚和喜欢的人一起回寝室啦	这个时候的感情是最纯洁的呢，一定好好珍惜呀，而且能和喜欢的人一起真的很幸运~
我好想脱单啊	因为上帝有一个超大的礼物要给你
大家都好孤独啊	感受到孤独才能感受到温暖，希望你在体会过孤单传播的丧之后能感受到其他人的肯定和认同带来的温暖
开始掉头发了，我还有救吗	十个光头九个富，要发大财了
今天甜甜的恋爱来了吗？	甜甜的恋爱在门外，只要出门就能遇到！
我今天喝了两大碗排骨汤	你让骨头实现了它的价值
独自一人骑摩托	安全第一路上小心
想单身一辈子	自由自在不受羁绊很多人向往的呢
以为可以保研结果在边缘	说不定你考到的学校比保研的学校还要好呢
参加补考去了	相信你已经做好了充足的准备!加油吧!
主持节目到腿抖	能当上主持人说明你非常有主持天赋
决定从网络世界回到现实	现实世界很美好的，你做了一个明智的选择
准备去图书馆了	天哪，真是爱学习的好孩子！
今天给妈妈买了一件衣服	真是个孝顺的孩子啊！你妈妈有这么可爱的孩子一定很幸福呢！
考证没考过	这让你更多时间和机会再去熟悉那些要考的东西，很好的一个反思自己哪里没做好的机会呢
熬夜到现在还很有精神！	同样熬夜的我夸夸你好棒啊可以熬这么晚
从来没被男孩子追过	上帝要攒个大桃花砸给你呢宝贝
导师给论文提了好多问题	你好幸运啊！导师给你提了好多问题，让你在论文写成之前有时间把所有的问题都解决掉。
马上就是论文截止日期了还差很多还不想写	完全不慌！效率为王！聪明牛皮的大脑马上分分钟就自我完成一篇高分论文！
今天第一次和一个男生拥抱	太暖啦！希望可爱的你不会被生活欺负
今天把家里打扫得干干净净	太厉害了我每次打起精神收拾没两天就搞乱
每天都只想躺尸	哈哈，没想到这么多同类，好开心
不敢找实习	可以实习但没必要因为你的离开学校将会失去一位人才这对学校损失挺大的
被室友说每天只知道学习	他们嫉妒你刻苦！别理他们
把一块香皂用的干干净净！	哇！用的好干净呀在坚持用香皂的你一定是干干净净香香甜甜的小天使呀
学习安卓开发	哇好棒~期待在应用商店看见你
人工智能学到头秃	加油你就是下一个图灵
不会用集成开发环境	羡慕用记事本写代码的朋友
软件工程太难了	哇，程序猿工资好高的
室友吐槽我换行括号	那你一定是层次分明的小天使
苹果发布了新的笔记本电脑	听说设计很好~用苹果的人审美也很优秀哦
球赛拿了冠军	哇那朋友圈不是要被点爆，恭喜你哦
女同学问室友代码问题	哇那你的室友编程能力一定很强，和优秀的人在一起自己也会变得优秀
室友的耳机被拦截了	这么小概率的事情都能碰到，买彩票一定能中奖吧
睡觉把床睡塌了	听说聪明的人都会遇到一两件麻烦事
今天把自己手指扎了个大口子	呼呼呼不痛不痛！好好消消毒包扎好哦，早点休息养好身体！
想写文赚点钱，但是这也太难了吧	别担心，写着速度就上去了，朋友加油！
论文初稿写好了	这是什么神仙速度，宝宝真棒！这能力和自控力都不是一般人能及的，你这么优秀盲审一定能过的！
刚刚和女朋友结束了	恭喜恭喜，准备迎接新生
今天穿了纱纱裙	一定是个可爱又漂亮的小姑娘
头顶有点凉	这是现在最流行的发型！你走在时尚潮流的前端呀！太厉害了！
因为矮而自卑	矮怎么了矮也很可爱啊
考试结束，独自一人踏上回来的旅途	加油通往成功的路总是孤独的
室友笑的很开心	他一定是个乐观生活的人儿
今天打了耳洞!	好棒呀好有勇气，是我一直想做又没做的事
最近疯狂长痘	让我看看是哪个小可爱可爱到冒泡了⊙▽⊙
放了个很响的屁	高耸玉臀，弘宣宝气，依稀乎丝竹之音，仿佛乎麝兰之味，臣立下风，不胜馨香之至。
男朋友特别帅，很没安全感	可是你能被身材很好长得好看的男生看上，你就是小天使呀。
工资终于五位数了	棒棒棒！你好能赚钱，继续加油
我撞到电灯柱了	你是在练铁头功吗？真是太厉害了(ง•̀_•́)ง
我是技校学生	能学到一门手艺太棒啦！！好羡慕你呀
在图书馆玩手机	在图书馆也懂得安安静静玩手机不打扰别人，你真是个乖宝宝呢！
吃了大碗面！	能吃是福呀~吃出来的幸福感
地铁上没抢座	你真棒，省了好多资源呢
我太能花钱了！	这个月也为了市场的经济增长做出了卓越的贡献呢!
教资面试没过	肯定是考官想为难可爱的人下次要好好准备攻克它⊙∀⊙！
开始戒可乐了！	加油，有目标的人最棒了！相信你一定可以的！对了想喝的话，可以喝点别的替代
相亲屡次失败	筛掉了不合适的人，剩下就都是合适的了
我写文档能力好差	那说明你代码能力很强哇
